"","Combination","Correlation","P","D.F"
"1","bite.all",0.422845842835395,1.96642667108096e-08,160.539378773416
"2","bite.all.agr",0.390406760095994,2.31613222120382e-07,162.250625786403
"3","bite.all.sev",0.416105490840407,8.56865844821064e-09,174.806555156296
"4","bite.all.agr.sev",0.397467983801413,2.97257818720325e-08,179.177216476101
"5","bite.all.ab",0.444425304711019,3.25102620771522e-07,119.079381626988
"6","bite.all.ab.agr",0.397895531481985,4.19853921246853e-05,97.8447917895065
"7","bite.all.ab.sev",0.483826432327455,3.58115167859926e-12,181.753861795064
"8","bite.all.ab.agr.sev",0.450544955050371,1.95472372485675e-07,119.831450079368
"9","env.all",-0.0246926119864561,0.857090914425471,53.6664896855614
"10","env.all.agr",-0.00226773980329451,0.986246535435591,58.2807664787837
"11","env.all.sev",-0.0533595016503493,0.665856161976643,65.9024462893343
"12","env.all.agr.sev",-0.0509505718284625,0.655174406351203,77.224992445312
"13","env.all.ab",0.193046349578476,0.185370099286263,46.6800238750738
"14","env.all.ab.agr",0.132393045490413,0.389363323853737,42.3961092114646
"15","env.all.ab.sev",0.241453040325275,0.0694587809702494,55.3623753332172
"16","env.all.ab.agr.sev",0.1294360721987,0.335352022695918,55.429553277547
